country_final,region_final,happiness_final,gdp_final,social_support,health_final,freedom_final,generosity,corruption_final
Togo,Sub-Saharan Africa,3.303,0.28123,,0.24811,0.34678,0.17517,0.11587
Syria,Middle East and Northern Africa,3.069,0.74719,,0.62994,0.06912,0.48397,0.17233
Burundi,Sub-Saharan Africa,2.905,0.06831,,0.15747,0.0432,0.2029,0.09419
Norway,,7.53700017929077,1.61646318435669,,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155
Denmark,,7.52199983596802,1.48238301277161,,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864
Iceland,,7.50400018692017,1.480633020401,,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084
Switzerland,,7.49399995803833,1.56497955322266,,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522
Finland,,7.4689998626709,1.44357192516327,,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014
Netherlands,,7.3769998550415,1.50394463539124,,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472
Canada,,7.31599998474121,1.47920441627502,,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722
New Zealand,,7.31400012969971,1.40570604801178,,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457
Sweden,,7.28399991989136,1.49438726902008,,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085
Australia,,7.28399991989136,1.484414935112,,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846
Israel,,7.21299982070923,1.37538242340088,,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861
Costa Rica,,7.0789999961853,1.10970628261566,,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136
Austria,,7.00600004196167,1.48709726333618,,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461
United States,,6.99300003051758,1.54625928401947,,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476
Ireland,,6.97700023651123,1.53570663928986,,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459
Germany,,6.95100021362305,1.48792338371277,,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703
Belgium,,6.89099979400635,1.46378076076508,,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369
Luxembourg,,6.86299991607666,1.74194359779358,,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886
United Kingdom,,6.71400022506714,1.44163393974304,,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662
Chile,,6.65199995040894,1.25278460979462,,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088
United Arab Emirates,,6.64799976348877,1.62634336948395,,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537
Brazil,,6.63500022888184,1.10735321044922,,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943
Czech Republic,,6.60900020599365,1.35268235206604,,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663
Argentina,,6.59899997711182,1.18529546260834,,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386
Mexico,,6.57800006866455,1.15318381786346,,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765
Singapore,,6.57200002670288,1.69227766990662,,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418
Malta,,6.52699995040894,1.34327983856201,,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711
Uruguay,,6.4539999961853,1.21755969524384,,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718
Guatemala,,6.4539999961853,0.872001945972443,,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961
Panama,,6.4520001411438,1.23374843597412,,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653
France,,6.44199991226196,1.43092346191406,,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228
Thailand,,6.42399978637695,1.12786877155304,,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515
Taiwan,,6.42199993133545,1.43362653255463,,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554
Spain,,6.40299987792969,1.38439786434174,,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986
Qatar,,6.375,1.87076568603516,,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512
Colombia,,6.35699987411499,1.07062232494354,,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451
Saudi Arabia,,6.3439998626709,1.53062355518341,,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126
Trinidad And Tobago,,6.16800022125244,1.36135590076447,,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459
Kuwait,,6.10500001907349,1.63295245170593,,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181
Slovakia,,6.09800004959106,1.32539355754852,,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092
Bahrain,,6.08699989318848,1.48841226100922,,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923
Malaysia,,6.08400011062622,1.29121541976929,,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218
Nicaragua,,6.07100009918213,0.737299203872681,,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948
Ecuador,,6.00799989700317,1.00082039833069,,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594
El Salvador,,6.00299978256226,0.909784495830536,,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729
Poland,,5.97300004959106,1.29178786277771,,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286
Uzbekistan,,5.97100019454956,0.786441087722778,,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929
Italy,,5.96400022506714,1.39506661891937,,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629
Russia,,5.96299982070923,1.28177809715271,,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522
Belize,,5.95599985122681,0.907975316047668,,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191
Japan,,5.92000007629395,1.41691517829895,,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663
Lithuania,,5.90199995040894,1.31458234786987,,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812
Algeria,,5.87200021743774,1.09186446666718,,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933
Latvia,,5.84999990463257,1.26074862480164,,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539
South Korea,,5.83799982070923,1.40167844295502,,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457
Moldova,,5.83799982070923,0.728870630264282,,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012
Romania,,5.82499980926514,1.21768391132355,,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893
Bolivia,,5.82299995422363,0.833756566047668,,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799
Turkmenistan,,5.82200002670288,1.13077676296234,,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239
Kazakhstan,,5.81899976730347,1.28455626964569,,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918
North Cyprus,,5.80999994277954,1.3469113111496,,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483
Slovenia,,5.75799989700317,1.3412059545517,,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527
Peru,,5.71500015258789,1.03522527217865,,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374
Mauritius,,5.62900018692017,1.18939554691315,,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417
