gdp_final,social_support,health_final,freedom_final,generosity,corruption_final,cluster
11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,1
10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1
10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1
10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1
10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,1
9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,1
11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1
10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,1
10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1
10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,1
10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1
11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,1
10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1
10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1
9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,1
10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,1
9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1
10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,1
10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,1
8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,1
10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,1
11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,1
9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,1
10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1
8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,1
9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,1
10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1
10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,1
8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,1
10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,1
10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1
10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,1
10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,1
10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,1
9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,1
10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,1
8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,1
10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,1
11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,1
9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,1
10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,1
10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,1
8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,1
10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,1
9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1
9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,1
8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,1
10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,1
9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,1
10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1
9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,1
10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,1
10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1
9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,1
9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,1
8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,1
8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,1
9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,1
